Food group,Food source,Measurement,Food group:Food source,Survey years:Variable,Value,Table,Demographics,ozEquivalent,foodType
"Fruit, total ",FAFH: Fast food,Cups,"Fruit, total:FAFH: Fast food",2017-2018-Mean,0.04,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.32,Plant
"Fruit, total ",FAFH: School,Cups,"Fruit, total:FAFH: School",2017-2018-Mean,0.03,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.24,Plant
"Fruit, total ",FAFH: Others,Cups,"Fruit, total:FAFH: Others",2017-2018-Mean,0.05,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.4,Plant
"Fruit, citrus, melon, and berries ",Total,Cups,"Fruit, citrus, melon, and berries:Total",2017-2018-Mean,0.24,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.92,Plant
"Fruit, citrus, melon, and berries ",FAH,Cups,"Fruit, citrus, melon, and berries:FAH",2017-2018-Mean,0.21,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.68,Plant
"Fruit, citrus, melon, and berries ",FAFH,Cups,"Fruit, citrus, melon, and berries:FAFH",2017-2018-Mean,0.03,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.24,Plant
"Fruit, citrus, melon, and berries ",FAFH: Restaurant,Cups,"Fruit, citrus, melon, and berries:FAFH: Restaurant",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Plant
"Fruit, citrus, melon, and berries ",FAFH: Fast food,Cups,"Fruit, citrus, melon, and berries:FAFH: Fast food",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Fruit, citrus, melon, and berries ",FAFH: School,Cups,"Fruit, citrus, melon, and berries:FAFH: School",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Plant
"Fruit, citrus, melon, and berries ",FAFH: Others,Cups,"Fruit, citrus, melon, and berries:FAFH: Others",2017-2018-Mean,0.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.16,Plant
"Fruit, other",Total,Cups,"Fruit, other:Total",2017-2018-Mean,0.45,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,3.6,Plant
"Fruit, other",FAH,Cups,"Fruit, other:FAH",2017-2018-Mean,0.4,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,3.2,Plant
"Fruit, other",FAFH,Cups,"Fruit, other:FAFH",2017-2018-Mean,0.06,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.48,Plant
"Fruit, other",FAFH: Restaurant,Cups,"Fruit, other:FAFH: Restaurant",2017-2018-Mean,0.0,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Plant
"Fruit, other",FAFH: Fast food,Cups,"Fruit, other:FAFH: Fast food",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Fruit, other",FAFH: School,Cups,"Fruit, other:FAFH: School",2017-2018-Mean,0.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.16,Plant
"Fruit, other",FAFH: Others,Cups,"Fruit, other:FAFH: Others",2017-2018-Mean,0.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.16,Plant
"Fruit, juice ",Total,Cups,"Fruit, juice:Total",2017-2018-Mean,0.23,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.84,Plant
"Fruit, juice ",FAH,Cups,"Fruit, juice:FAH",2017-2018-Mean,0.19,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.52,Plant
"Fruit, juice ",FAFH,Cups,"Fruit, juice:FAFH",2017-2018-Mean,0.04,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.32,Plant
"Fruit, juice ",FAFH: Restaurant,Cups,"Fruit, juice:FAFH: Restaurant",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Fruit, juice ",FAFH: Fast food,Cups,"Fruit, juice:FAFH: Fast food",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Fruit, juice ",FAFH: School,Cups,"Fruit, juice:FAFH: School",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Fruit, juice ",FAFH: Others,Cups,"Fruit, juice:FAFH: Others",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Fruit, whole fruit",Total,Cups,"Fruit, whole fruit:Total",2017-2018-Mean,0.7,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,5.6,Plant
"Fruit, whole fruit",FAH,Cups,"Fruit, whole fruit:FAH",2017-2018-Mean,0.6,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,4.8,Plant
"Fruit, whole fruit",FAFH,Cups,"Fruit, whole fruit:FAFH",2017-2018-Mean,0.09,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.72,Plant
"Fruit, whole fruit",FAFH: Restaurant,Cups,"Fruit, whole fruit:FAFH: Restaurant",2017-2018-Mean,0.01,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.08,Plant
"Fruit, whole fruit",FAFH: Fast food,Cups,"Fruit, whole fruit:FAFH: Fast food",2017-2018-Mean,0.02,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.16,Plant
