EstablishmentNumber,EstablishmentName,EstablishmentID,GCP_TotalInspections,GCP_TotalNRs,GCP_TotalMOIs,Lab_TotalSamples,Lab_SalmonellaPositive,Lab_CampylobacterPositive,Lab_SalmonellaPositiveRate,Lab_CampylobacterPositiveRate,_merge
M21938+P21938,EcoFriendly Foods                                                                                   ,9260.0,33.0,0.0,0.0,1.0,1.0,0.0,100.0,0.0,both
M2194+P2194,Pat's Pastured                                                                                      ,6167597.0,20.0,0.0,0.0,2.0,1.0,0.0,50.0,0.0,both
M22095+P22095+V22095,Creston Valley Meats                                                                                ,8875.0,73.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,both
M248B+P215,Butterfield Foods Company                                                                           ,2939.0,167.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,both
M27297+P27297,Campo Lindo Farms                                                                                   ,8862.0,61.0,0.0,0.0,17.0,1.0,0.0,5.88,0.0,both
M27389+P27389+V27389,Pitman Farms                                                                                        ,9259.0,669.0,0.0,0.0,170.0,37.0,0.0,21.76,0.0,both
M31727+P31727+V31727A,Kiryas Joel Poultry Processing Plant                                                                ,9337.0,253.0,0.0,0.0,71.0,1.0,0.0,1.41,0.0,both
M32130+P32130+V32130,Dakota Provisions LLC                                                                               ,9870.0,403.0,0.0,13.0,21.0,1.0,0.0,4.76,0.0,both
M322A+P322,Pilgrim's Pride Corporation                                                                         ,2961.0,556.0,0.0,0.0,111.0,6.0,0.0,5.41,0.0,both
M34078+P34078,"Great Lakes Poultry, Inc.                                                                           ",12319.0,247.0,0.0,0.0,9.0,5.0,0.0,55.56,0.0,both
M34145+P34145,"Kadejan, Inc.                                                                                       ",12513.0,160.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,both
M4005+P4005+V4005,Williamsburg Packing Company Inc.                                                                   ,619.0,122.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,both
M4181+P4181,"Mao Foods, Inc.                                                                                     ",5687.0,209.0,0.0,3.0,45.0,0.0,0.0,0.0,0.0,both
